sku,date,actual,pred_p50,pred_aq,pred_log,pred_combo,acc_p50,acc_aq,acc_log,acc_combo,cv,chosen_q,is_promo
H0002,2025-10-01,36,39.5,35.0,29.7,32.3,90.2,97.2,82.5,89.8,1.85,0.4,0
H0002,2025-10-02,35,48.2,43.1,41.6,42.4,62.4,76.7,81.1,78.9,1.85,0.4,0
H0002,2025-10-03,49,42.0,37.1,32.3,34.7,85.7,75.7,66.0,70.8,1.85,0.4,0
H0002,2025-10-04,133,44.5,39.9,39.6,39.7,33.5,30.0,29.7,29.9,1.85,0.4,0
H0002,2025-10-05,51,52.2,45.3,42.9,44.1,97.6,88.8,84.1,86.5,1.85,0.4,0
H0002,2025-10-06,41,48.9,42.5,42.3,42.4,80.8,96.3,96.8,96.6,1.85,0.4,0
H0002,2025-10-07,273,771.5,699.8,1356.5,1028.1,0.0,0.0,0.0,0.0,1.85,0.4,0
H0002,2025-10-08,383,767.4,704.8,1257.1,981.0,0.0,16.0,0.0,0.0,1.85,0.4,0
H0002,2025-10-09,142,98.3,83.4,70.1,76.7,69.2,58.7,49.3,54.0,1.85,0.4,0
H0002,2025-10-10,128,102.7,89.0,72.1,80.6,80.2,69.6,56.3,62.9,1.85,0.4,0
H0002,2025-10-11,132,73.0,63.2,55.8,59.5,55.3,47.9,42.2,45.1,1.85,0.4,0
H0002,2025-10-12,163,126.1,112.7,91.1,101.9,77.4,69.2,55.9,62.5,1.85,0.4,0
H0002,2025-10-13,69,126.6,114.1,95.2,104.6,16.6,34.7,62.0,48.3,1.85,0.4,0
H0002,2025-10-14,80,68.1,59.1,50.7,54.9,85.1,73.8,63.4,68.6,1.85,0.4,0
H0002,2025-10-15,71,46.9,40.4,35.1,37.7,66.1,56.8,49.4,53.1,1.85,0.4,0
H0002,2025-10-16,78,47.0,41.0,36.6,38.8,60.2,52.5,46.9,49.7,1.85,0.4,0
H0002,2025-10-17,55,49.5,44.5,45.6,45.0,90.0,80.9,82.9,81.9,1.85,0.4,0
H0002,2025-10-18,69,52.2,47.1,51.0,49.0,75.7,68.2,73.9,71.1,1.85,0.4,0
H0002,2025-10-19,62,61.1,54.8,62.7,58.7,98.6,88.4,98.9,94.7,1.85,0.4,0
H0002,2025-10-20,42,51.9,46.5,48.3,47.4,76.3,89.2,85.0,87.1,1.85,0.4,0
H0002,2025-10-21,49,54.5,48.6,49.5,49.0,88.9,99.1,99.1,100.0,1.85,0.4,0
H0002,2025-10-22,38,46.6,41.9,36.1,39.0,77.4,89.8,95.0,97.4,1.85,0.4,0
H0002,2025-10-23,45,56.0,50.0,46.4,48.2,75.6,88.8,97.0,92.9,1.85,0.4,0
H0002,2025-10-24,56,46.8,42.0,37.1,39.5,83.5,74.9,66.2,70.6,1.85,0.4,0
H0002,2025-10-25,33,46.1,41.1,36.8,39.0,60.2,75.3,88.4,81.9,1.85,0.4,0
H0002,2025-10-26,52,49.0,43.3,46.8,45.1,94.2,83.3,90.1,86.7,1.85,0.4,0
H0002,2025-10-27,61,43.3,38.4,39.1,38.7,70.9,62.9,64.1,63.5,1.85,0.4,0
H0002,2025-10-28,120,39.5,35.0,32.6,33.8,32.9,29.2,27.2,28.2,1.85,0.4,0
H0002,2025-10-29,60,39.9,35.5,31.9,33.7,66.5,59.2,53.1,56.1,1.85,0.4,0
H0002,2025-10-30,54,44.1,39.2,38.0,38.6,81.7,72.5,70.4,71.4,1.85,0.4,0
H0002,2025-10-31,44,50.8,44.8,44.1,44.4,84.5,98.3,99.8,99.0,1.85,0.4,0
H0002,2025-11-01,36,54.4,48.1,42.6,45.4,49.0,66.4,81.5,74.0,1.85,0.4,0
H0002,2025-11-02,54,56.6,49.8,48.6,49.2,95.2,92.3,90.1,91.2,1.85,0.4,0
H0002,2025-11-03,28,51.6,45.6,39.1,42.3,15.8,37.1,60.5,48.8,1.85,0.4,0
H0002,2025-11-04,106,53.2,46.7,50.5,48.6,50.1,44.0,47.6,45.8,1.85,0.4,0
H0002,2025-11-05,29,48.1,42.6,41.2,41.9,34.2,53.2,58.1,55.7,1.85,0.4,0
H0002,2025-11-06,25,47.3,42.2,39.7,41.0,10.7,31.1,41.1,36.1,1.85,0.4,0
H0002,2025-11-07,64,51.3,45.4,46.4,45.9,80.2,70.9,72.4,71.7,1.85,0.4,0
H0002,2025-11-08,90,53.5,47.5,46.4,46.9,59.5,52.7,51.6,52.2,1.85,0.4,0
H0002,2025-11-09,72,68.3,60.2,61.9,61.1,94.8,83.7,85.9,84.8,1.85,0.4,0
H0002,2025-11-10,55,48.9,43.5,43.7,43.6,88.9,79.1,79.4,79.3,1.85,0.4,0
H0002,2025-11-11,46,40.5,36.1,31.9,34.0,88.1,78.5,69.3,73.9,1.85,0.4,0
H0002,2025-11-12,34,43.4,38.3,34.2,36.3,72.3,87.2,99.4,93.3,1.85,0.4,0
H0002,2025-11-13,30,48.9,43.4,39.0,41.2,37.0,55.3,70.1,62.7,1.85,0.4,0
H0002,2025-11-14,69,51.3,45.2,44.4,44.8,74.3,65.6,64.4,65.0,1.85,0.4,0
H0002,2025-11-15,77,76.6,67.7,69.6,68.7,99.5,88.0,90.4,89.2,1.85,0.4,0
H0002,2025-11-16,83,57.8,50.5,51.7,51.1,69.7,60.8,62.2,61.5,1.85,0.4,0
H0002,2025-11-17,67,49.3,42.9,41.4,42.1,73.6,64.0,61.7,62.9,1.85,0.4,0
H0002,2025-11-18,62,61.9,51.4,46.9,49.2,99.8,83.0,75.6,79.3,1.85,0.4,0
H0002,2025-11-19,55,83.4,68.6,57.7,63.1,48.4,75.3,95.2,85.2,1.85,0.4,0
H0002,2025-11-20,184,194.3,159.4,95.6,127.5,94.4,86.7,52.0,69.3,1.85,0.4,0
H0002,2025-11-21,147,236.2,197.0,112.8,154.9,39.4,66.0,76.7,94.6,1.85,0.4,0
H0002,2025-11-22,165,374.5,327.3,166.2,246.7,0.0,1.6,99.3,50.5,1.85,0.4,1
H0002,2025-11-23,156,407.3,359.9,185.1,272.5,0.0,0.0,81.3,25.3,1.85,0.4,1
H0002,2025-11-24,122,413.2,364.7,200.3,282.5,0.0,0.0,35.9,0.0,1.85,0.4,1
H0002,2025-11-25,119,419.9,371.4,195.3,283.3,0.0,0.0,35.9,0.0,1.85,0.4,1
H0002,2025-11-26,118,462.3,413.9,240.4,327.2,0.0,0.0,0.0,0.0,1.85,0.4,1
H0002,2025-11-27,121,456.7,401.6,233.3,317.5,0.0,0.0,7.2,0.0,1.85,0.4,1
H0002,2025-11-28,283,639.6,589.9,448.0,519.0,0.0,0.0,41.7,16.6,1.85,0.4,2
H0002,2025-11-29,158,466.3,413.5,210.9,312.2,0.0,0.0,66.5,2.4,1.85,0.4,1
H0004,2025-10-01,32,33.7,33.7,36.5,34.8,94.7,94.7,86.0,91.2,0.76,0.5,0
H0004,2025-10-02,35,31.6,31.6,32.6,32.0,90.3,90.3,93.0,91.4,0.76,0.5,0
H0004,2025-10-03,17,30.3,30.3,31.0,30.6,21.9,21.9,17.8,20.3,0.76,0.5,0
H0004,2025-10-04,14,28.2,28.2,27.2,27.8,0.0,0.0,5.5,1.5,0.76,0.5,0
H0004,2025-10-05,19,29.9,29.9,29.1,29.5,42.8,42.8,47.0,44.5,0.76,0.5,0
H0004,2025-10-06,27,36.4,36.4,35.6,36.1,65.2,65.2,68.0,66.3,0.76,0.5,0
H0004,2025-10-07,70,75.0,75.0,64.5,70.8,92.9,92.9,92.1,98.9,0.76,0.5,0
H0004,2025-10-08,68,81.4,81.4,70.7,77.1,80.4,80.4,96.0,86.6,0.76,0.5,0
H0004,2025-10-09,35,36.2,36.2,34.9,35.7,96.5,96.5,99.7,98.0,0.76,0.5,0
H0004,2025-10-10,23,32.4,32.4,31.4,32.0,59.1,59.1,63.6,60.9,0.76,0.5,0
H0004,2025-10-11,19,28.5,28.5,27.7,28.2,49.8,49.8,54.3,51.6,0.76,0.5,0
H0004,2025-10-12,36,44.0,44.0,41.4,43.0,77.7,77.7,85.1,80.7,0.76,0.5,0
H0004,2025-10-13,19,36.6,36.6,36.4,36.5,7.5,7.5,8.4,7.9,0.76,0.5,0
H0004,2025-10-14,39,34.7,34.7,35.2,34.9,89.1,89.1,90.2,89.5,0.76,0.5,0
H0004,2025-10-15,28,35.2,35.2,35.0,35.1,74.4,74.4,75.1,74.7,0.76,0.5,0
H0004,2025-10-16,30,34.1,34.1,33.7,33.9,86.5,86.5,87.5,86.9,0.76,0.5,0
H0004,2025-10-17,20,33.3,33.3,32.7,33.0,33.6,33.6,36.7,34.9,0.76,0.5,0
H0004,2025-10-18,29,29.2,29.2,28.5,28.9,99.3,99.3,98.3,99.8,0.76,0.5,0
H0004,2025-10-19,32,30.0,30.0,29.4,29.8,93.8,93.8,91.8,93.0,0.76,0.5,0
H0004,2025-10-20,38,39.6,39.6,38.1,39.0,95.7,95.7,99.8,97.4,0.76,0.5,0
H0004,2025-10-21,38,39.6,39.6,38.0,39.0,95.7,95.7,99.9,97.4,0.76,0.5,0
H0004,2025-10-22,49,38.4,38.4,37.4,38.0,78.4,78.4,76.4,77.6,0.76,0.5,0
H0004,2025-10-23,27,35.7,35.7,35.2,35.5,67.7,67.7,69.6,68.5,0.76,0.5,0
H0004,2025-10-24,38,33.2,33.2,32.5,32.9,87.3,87.3,85.5,86.6,0.76,0.5,0
H0004,2025-10-25,33,29.6,29.6,28.8,29.3,89.8,89.8,87.1,88.7,0.76,0.5,0
H0004,2025-10-26,32,30.8,30.8,29.9,30.4,96.1,96.1,93.5,95.1,0.76,0.5,0
H0004,2025-10-27,46,38.2,38.2,37.7,38.0,83.1,83.1,82.0,82.6,0.76,0.5,0
H0004,2025-10-28,39,39.0,39.0,37.9,38.6,100.0,100.0,97.2,98.9,0.76,0.5,0
H0004,2025-10-29,36,39.4,39.4,38.5,39.1,90.5,90.5,93.0,91.5,0.76,0.5,0
H0004,2025-10-30,26,34.9,34.9,34.4,34.7,65.8,65.8,67.8,66.6,0.76,0.5,0
H0004,2025-10-31,39,32.3,32.3,31.8,32.1,82.7,82.7,81.5,82.2,0.76,0.5,0
H0004,2025-11-01,35,29.0,29.0,28.1,28.6,82.9,82.9,80.2,81.8,0.76,0.5,0
H0004,2025-11-02,27,32.3,32.3,30.9,31.7,80.3,80.3,85.6,82.5,0.76,0.5,0
H0004,2025-11-03,50,41.9,41.9,41.7,41.8,83.7,83.7,83.4,83.6,0.76,0.5,0
H0004,2025-11-04,49,37.7,37.7,36.6,37.3,76.9,76.9,74.8,76.0,0.76,0.5,0
H0004,2025-11-05,50,38.5,38.5,38.1,38.3,77.0,77.0,76.2,76.7,0.76,0.5,0
H0004,2025-11-06,55,34.2,34.2,33.5,33.9,62.2,62.2,60.8,61.6,0.76,0.5,0
H0004,2025-11-07,54,32.0,32.0,31.8,31.9,59.2,59.2,58.9,59.1,0.76,0.5,0
H0004,2025-11-08,45,28.9,28.9,28.2,28.6,64.2,64.2,62.7,63.6,0.76,0.5,0
H0004,2025-11-09,74,29.7,29.7,28.1,29.0,40.1,40.1,38.0,39.3,0.76,0.5,0
H0004,2025-11-10,80,38.9,38.9,37.2,38.2,48.6,48.6,46.5,47.8,0.76,0.5,0
H0004,2025-11-11,67,39.5,39.5,37.7,38.8,58.9,58.9,56.3,57.9,0.76,0.5,0
H0004,2025-11-12,90,41.4,41.4,40.0,40.8,46.0,46.0,44.4,45.4,0.76,0.5,0
H0004,2025-11-13,53,38.3,38.3,36.8,37.7,72.2,72.2,69.5,71.1,0.76,0.5,0
H0004,2025-11-14,46,34.3,34.3,33.0,33.7,74.5,74.5,71.6,73.4,0.76,0.5,0
H0004,2025-11-15,52,33.0,33.0,32.2,32.7,63.5,63.5,61.9,62.8,0.76,0.5,0
H0004,2025-11-16,47,34.4,34.4,32.6,33.7,73.2,73.2,69.4,71.7,0.76,0.5,0
H0004,2025-11-17,51,41.9,41.9,40.6,41.4,82.2,82.2,79.5,81.1,0.76,0.5,0
H0004,2025-11-18,74,40.5,40.5,38.5,39.7,54.7,54.7,52.0,53.7,0.76,0.5,0
H0004,2025-11-19,41,43.0,43.0,40.1,41.8,95.2,95.2,97.8,98.0,0.76,0.5,0
H0004,2025-11-20,63,45.1,45.1,40.2,43.2,71.6,71.6,63.9,68.5,0.76,0.5,0
H0004,2025-11-21,58,40.4,40.4,35.6,38.5,69.6,69.6,61.4,66.3,0.76,0.5,0
H0004,2025-11-22,48,35.3,35.3,32.8,34.3,73.6,73.6,68.4,71.5,0.76,0.5,1
H0004,2025-11-23,66,39.5,39.5,35.1,37.7,59.9,59.9,53.2,57.2,0.76,0.5,1
H0004,2025-11-24,61,48.6,48.6,43.9,46.8,79.8,79.8,72.0,76.7,0.76,0.5,1
H0004,2025-11-25,73,60.1,60.1,48.7,55.6,82.3,82.3,66.8,76.1,0.76,0.5,1
H0004,2025-11-26,45,56.8,56.8,47.6,53.1,73.8,73.8,94.3,82.0,0.76,0.5,1
H0004,2025-11-27,54,65.7,65.7,50.0,59.4,78.4,78.4,92.5,90.0,0.76,0.5,1
H0004,2025-11-28,143,100.0,100.0,68.1,87.2,69.9,69.9,47.6,61.0,0.76,0.5,2
H0004,2025-11-29,119,80.8,80.8,53.0,69.7,67.9,67.9,44.5,58.5,0.76,0.5,1
H0005,2025-10-01,76,112.9,106.1,104.9,105.5,51.5,60.4,61.9,61.2,1.49,0.4,0
H0005,2025-10-02,69,130.0,122.9,112.6,117.8,11.7,21.8,36.8,29.3,1.49,0.4,0
H0005,2025-10-03,121,170.3,160.4,148.5,154.5,59.3,67.4,77.2,72.3,1.49,0.4,0
H0005,2025-10-04,98,182.0,172.5,159.3,165.9,14.3,24.0,37.5,30.7,1.49,0.4,0
H0005,2025-10-05,103,185.5,174.2,161.7,168.0,19.9,30.9,43.0,36.9,1.49,0.4,0
H0005,2025-10-06,98,169.5,158.9,138.2,148.6,27.1,37.8,59.0,48.4,1.49,0.4,0
H0005,2025-10-07,1359,1390.3,1334.8,2087.9,1711.3,97.7,98.2,46.4,74.1,1.49,0.4,0
H0005,2025-10-08,1360,1434.7,1371.3,2249.4,1810.3,94.5,99.2,34.6,66.9,1.49,0.4,0
H0005,2025-10-09,428,273.7,256.4,206.6,231.5,64.0,59.9,48.3,54.1,1.49,0.4,0
H0005,2025-10-10,313,195.3,183.8,159.4,171.6,62.4,58.7,50.9,54.8,1.49,0.4,0
H0005,2025-10-11,324,257.2,243.3,205.0,224.2,79.4,75.1,63.3,69.2,1.49,0.4,0
H0005,2025-10-12,346,276.6,262.9,218.0,240.5,79.9,76.0,63.0,69.5,1.49,0.4,0
H0005,2025-10-13,137,186.1,177.7,153.0,165.3,64.2,70.3,88.3,79.3,1.49,0.4,0
H0005,2025-10-14,101,146.8,138.2,124.9,131.6,54.6,63.2,76.3,69.7,1.49,0.4,0
H0005,2025-10-15,104,120.4,112.7,106.8,109.8,84.2,91.6,97.3,94.5,1.49,0.4,0
H0005,2025-10-16,121,139.9,130.9,123.7,127.3,84.4,91.8,97.8,94.8,1.49,0.4,0
H0005,2025-10-17,99,110.4,104.7,109.5,107.1,88.4,94.3,89.4,91.8,1.49,0.4,0
H0005,2025-10-18,120,117.0,110.5,117.9,114.2,97.5,92.1,98.3,95.2,1.49,0.4,0
H0005,2025-10-19,128,123.8,117.3,124.7,121.0,96.7,91.7,97.4,94.5,1.49,0.4,0
H0005,2025-10-20,73,103.5,98.1,100.1,99.1,58.2,65.6,62.9,64.3,1.49,0.4,0
H0005,2025-10-21,97,103.4,98.0,98.3,98.1,93.4,99.0,98.7,98.8,1.49,0.4,0
H0005,2025-10-22,102,107.2,101.5,102.1,101.8,94.9,99.5,99.9,99.8,1.49,0.4,0
H0005,2025-10-23,109,103.7,98.4,99.4,98.9,95.1,90.2,91.2,90.7,1.49,0.4,0
H0005,2025-10-24,106,122.6,116.1,119.5,117.8,84.4,90.5,87.2,88.9,1.49,0.4,0
H0005,2025-10-25,99,122.3,115.7,121.1,118.4,76.5,83.1,77.6,80.4,1.49,0.4,0
H0005,2025-10-26,125,120.0,113.5,119.4,116.4,96.0,90.8,95.5,93.2,1.49,0.4,0
H0005,2025-10-27,116,112.8,107.4,108.5,107.9,97.3,92.6,93.5,93.0,1.49,0.4,0
H0005,2025-10-28,86,111.2,105.7,106.1,105.9,70.7,77.1,76.6,76.8,1.49,0.4,0
H0005,2025-10-29,89,106.8,101.4,101.7,101.5,80.1,86.1,85.8,85.9,1.49,0.4,0
H0005,2025-10-30,85,104.9,99.8,100.9,100.3,76.5,82.6,81.3,82.0,1.49,0.4,0
H0005,2025-10-31,92,103.4,98.4,97.4,97.9,87.6,93.1,94.1,93.6,1.49,0.4,0
H0005,2025-11-01,87,105.7,100.0,99.5,99.8,78.5,85.0,85.6,85.3,1.49,0.4,0
H0005,2025-11-02,120,110.1,104.8,107.2,106.0,91.8,87.3,89.4,88.3,1.49,0.4,0
H0005,2025-11-03,103,96.5,91.6,92.2,91.9,93.7,88.9,89.5,89.2,1.49,0.4,0
H0005,2025-11-04,100,94.4,89.5,93.2,91.3,94.4,89.5,93.2,91.3,1.49,0.4,0
H0005,2025-11-05,101,93.5,88.7,92.5,90.6,92.6,87.9,91.6,89.7,1.49,0.4,0
H0005,2025-11-06,88,97.9,93.0,97.1,95.0,88.8,94.3,89.7,92.0,1.49,0.4,0
H0005,2025-11-07,88,105.0,99.9,106.2,103.0,80.6,86.5,79.3,82.9,1.49,0.4,0
H0005,2025-11-08,109,107.3,102.4,108.0,105.2,98.5,93.9,99.1,96.5,1.49,0.4,0
H0005,2025-11-09,96,115.7,109.8,114.4,112.1,79.5,85.6,80.9,83.2,1.49,0.4,0
H0005,2025-11-10,92,96.6,91.7,94.1,92.9,95.0,99.7,97.8,99.1,1.49,0.4,0
H0005,2025-11-11,93,91.9,87.1,89.2,88.2,98.9,93.7,95.9,94.8,1.49,0.4,0
H0005,2025-11-12,78,93.3,88.7,90.9,89.8,80.3,86.2,83.4,84.8,1.49,0.4,0
H0005,2025-11-13,99,98.6,93.8,97.8,95.8,99.6,94.7,98.8,96.8,1.49,0.4,0
H0005,2025-11-14,100,102.7,97.5,101.3,99.4,97.3,97.5,98.7,99.4,1.49,0.4,0
H0005,2025-11-15,114,112.7,107.1,111.7,109.4,98.9,93.9,98.0,96.0,1.49,0.4,0
H0005,2025-11-16,100,107.8,102.2,108.0,105.1,92.2,97.8,92.0,94.9,1.49,0.4,0
H0005,2025-11-17,79,103.7,98.0,99.3,98.6,68.8,76.0,74.3,75.1,1.49,0.4,0
H0005,2025-11-18,83,136.4,125.8,106.2,116.0,35.6,48.4,72.1,60.2,1.49,0.4,0
H0005,2025-11-19,75,156.5,145.3,119.0,132.2,0.0,6.2,41.4,23.8,1.49,0.4,0
H0005,2025-11-20,906,870.8,822.1,1170.7,996.4,96.1,90.7,70.8,90.0,1.49,0.4,0
H0005,2025-11-21,596,889.5,846.8,1310.7,1078.8,50.8,57.9,0.0,19.0,1.49,0.4,0
H0005,2025-11-22,603,992.8,948.3,1844.9,1396.6,35.4,42.7,0.0,0.0,1.49,0.4,1
H0005,2025-11-23,653,929.9,884.8,1693.3,1289.0,57.6,64.5,0.0,2.6,1.49,0.4,1
H0005,2025-11-24,472,732.6,692.1,1118.6,905.3,44.8,53.4,0.0,8.2,1.49,0.4,1
H0005,2025-11-25,524,751.3,710.6,1128.3,919.5,56.6,64.4,0.0,24.5,1.49,0.4,1
H0005,2025-11-26,493,796.9,756.3,1272.9,1014.6,38.4,46.6,0.0,0.0,1.49,0.4,1
H0005,2025-11-27,671,1212.6,1165.4,2332.0,1748.7,19.3,26.3,0.0,0.0,1.49,0.4,1
H0005,2025-11-28,1607,2167.3,2081.3,8317.2,5199.3,65.1,70.5,0.0,0.0,1.49,0.4,2
H0005,2025-11-29,747,1022.3,966.6,1955.0,1460.8,63.1,70.6,0.0,4.4,1.49,0.4,1
H0007,2025-10-01,32,44.1,39.5,41.1,40.3,62.2,76.5,71.5,74.0,1.22,0.3,0
H0007,2025-10-02,40,45.2,40.4,41.3,40.9,86.9,98.9,96.8,97.8,1.22,0.3,0
H0007,2025-10-03,44,47.0,41.8,44.4,43.1,93.1,95.0,99.1,97.9,1.22,0.3,0
H0007,2025-10-04,33,50.7,44.5,47.1,45.8,46.5,65.2,57.3,61.2,1.22,0.3,0
H0007,2025-10-05,53,53.8,46.9,48.7,47.8,98.5,88.6,92.0,90.3,1.22,0.3,0
H0007,2025-10-06,38,54.9,47.2,49.5,48.4,55.5,75.7,69.8,72.7,1.22,0.3,0
H0007,2025-10-07,111,123.8,102.4,106.9,104.6,88.4,92.3,96.3,94.3,1.22,0.3,0
H0007,2025-10-08,131,124.7,103.7,108.1,105.9,95.2,79.1,82.6,80.8,1.22,0.3,0
H0007,2025-10-09,44,51.0,44.1,44.3,44.2,84.2,99.8,99.3,99.6,1.22,0.3,0
H0007,2025-10-10,25,49.8,44.1,44.9,44.5,0.8,23.7,20.6,22.1,1.22,0.3,0
H0007,2025-10-11,42,53.4,46.2,48.5,47.4,72.9,90.1,84.4,87.3,1.22,0.3,0
H0007,2025-10-12,34,54.8,48.1,50.9,49.5,38.7,58.4,50.3,54.4,1.22,0.3,0
H0007,2025-10-13,58,56.7,49.5,52.8,51.2,97.7,85.4,91.1,88.2,1.22,0.3,0
H0007,2025-10-14,61,60.7,53.1,58.7,55.9,99.6,87.1,96.2,91.6,1.22,0.3,0
H0007,2025-10-15,66,61.0,53.5,60.2,56.9,92.5,81.0,91.3,86.2,1.22,0.3,0
H0007,2025-10-16,69,62.6,54.8,62.0,58.4,90.8,79.5,89.9,84.7,1.22,0.3,0
H0007,2025-10-17,73,69.5,59.8,67.9,63.9,95.2,82.0,93.0,87.5,1.22,0.3,0
H0007,2025-10-18,74,67.7,58.4,66.2,62.3,91.5,78.9,89.5,84.2,1.22,0.3,0
H0007,2025-10-19,88,82.5,71.2,80.1,75.7,93.7,80.9,91.1,86.0,1.22,0.3,0
H0007,2025-10-20,35,57.6,48.8,53.1,50.9,35.5,60.7,48.3,54.5,1.22,0.3,0
H0007,2025-10-21,77,57.2,49.0,52.2,50.6,74.2,63.6,67.8,65.7,1.22,0.3,0
H0007,2025-10-22,66,58.8,49.7,56.4,53.1,89.1,75.4,85.5,80.4,1.22,0.3,0
H0007,2025-10-23,70,59.7,50.8,55.1,53.0,85.3,72.6,78.8,75.7,1.22,0.3,0
H0007,2025-10-24,77,68.4,58.5,63.9,61.2,88.8,76.0,83.1,79.5,1.22,0.3,0
H0007,2025-10-25,55,67.2,57.9,64.7,61.3,77.9,94.7,82.4,88.6,1.22,0.3,0
H0007,2025-10-26,80,80.4,69.4,79.4,74.4,99.5,86.8,99.2,93.0,1.22,0.3,0
H0007,2025-10-27,41,59.5,50.7,55.0,52.9,55.0,76.3,65.9,71.1,1.22,0.3,0
H0007,2025-10-28,33,59.3,50.7,55.8,53.2,20.2,46.3,31.0,38.7,1.22,0.3,0
H0007,2025-10-29,48,62.0,52.8,59.5,56.2,70.8,89.9,75.9,82.9,1.22,0.3,0
H0007,2025-10-30,52,61.7,52.8,58.8,55.8,81.4,98.5,86.9,92.7,1.22,0.3,0
H0007,2025-10-31,40,63.3,54.8,60.7,57.7,41.8,63.1,48.2,55.7,1.22,0.3,0
H0007,2025-11-01,41,66.7,57.7,67.5,62.6,37.3,59.4,35.4,47.4,1.22,0.3,0
H0007,2025-11-02,60,78.9,65.3,83.2,74.2,68.5,91.2,61.3,76.3,1.22,0.3,0
H0007,2025-11-03,48,71.9,59.3,73.0,66.2,50.2,76.4,47.8,62.1,1.22,0.3,0
H0007,2025-11-04,29,74.0,60.3,74.0,67.1,0.0,0.0,0.0,0.0,1.22,0.3,0
H0007,2025-11-05,50,78.0,64.6,78.1,71.3,44.0,70.8,43.9,57.3,1.22,0.3,0
H0007,2025-11-06,63,82.6,69.7,81.1,75.4,68.8,89.4,71.2,80.3,1.22,0.3,0
H0007,2025-11-07,67,97.3,82.4,97.0,89.7,54.8,77.0,55.3,66.1,1.22,0.3,0
H0007,2025-11-08,80,104.3,88.8,104.7,96.8,69.7,89.0,69.1,79.0,1.22,0.3,0
H0007,2025-11-09,84,138.0,118.4,142.9,130.6,35.8,59.1,29.9,44.5,1.22,0.3,0
H0007,2025-11-10,93,138.5,118.1,140.5,129.3,51.0,73.0,48.9,61.0,1.22,0.3,0
H0007,2025-11-11,66,134.6,113.7,140.0,126.8,0.0,27.7,0.0,7.8,1.22,0.3,0
H0007,2025-11-12,92,147.2,122.3,164.8,143.5,40.0,67.1,20.9,44.0,1.22,0.3,0
H0007,2025-11-13,87,190.0,155.7,193.4,174.5,0.0,21.1,0.0,0.0,1.22,0.3,0
H0007,2025-11-14,106,199.2,163.4,200.5,182.0,12.1,45.9,10.8,28.3,1.22,0.3,0
H0007,2025-11-15,125,299.8,246.5,302.3,274.4,0.0,2.8,0.0,0.0,1.22,0.3,0
H0007,2025-11-16,142,391.3,321.7,361.7,341.7,0.0,0.0,0.0,0.0,1.22,0.3,0
H0007,2025-11-17,87,272.6,214.3,240.8,227.5,0.0,0.0,0.0,0.0,1.22,0.3,0
H0007,2025-11-18,155,293.8,234.4,287.5,260.9,10.4,48.8,14.5,31.7,1.22,0.3,0
H0007,2025-11-19,153,349.2,279.4,362.9,321.2,0.0,17.4,0.0,0.0,1.22,0.3,0
H0007,2025-11-20,348,468.0,386.1,450.7,418.4,65.5,89.0,70.5,79.8,1.22,0.3,0
H0007,2025-11-21,299,489.3,405.9,472.4,439.2,36.4,64.3,42.0,53.1,1.22,0.3,0
H0007,2025-11-22,385,650.7,559.7,569.4,564.5,31.0,54.6,52.1,53.4,1.22,0.3,1
H0007,2025-11-23,574,764.7,672.3,671.9,672.1,66.8,82.9,82.9,82.9,1.22,0.3,1
H0007,2025-11-24,641,792.4,695.8,687.3,691.6,76.4,91.5,92.8,92.1,1.22,0.3,1
H0007,2025-11-25,707,861.2,766.0,721.2,743.6,78.2,91.7,98.0,94.8,1.22,0.3,1
H0007,2025-11-26,553,803.3,691.2,714.3,702.7,54.7,75.0,70.8,72.9,1.22,0.3,1
H0007,2025-11-27,335,851.7,755.7,730.6,743.1,0.0,0.0,0.0,0.0,1.22,0.3,1
H0007,2025-11-28,476,737.5,622.9,637.8,630.3,45.1,69.1,66.0,67.6,1.22,0.3,2
H0007,2025-11-29,215,541.8,440.0,490.7,465.4,0.0,0.0,0.0,0.0,1.22,0.3,1
H0008,2025-10-01,107,110.4,105.5,109.9,107.7,96.8,98.6,97.3,99.3,1.29,0.4,0
H0008,2025-10-02,103,116.3,110.9,117.0,113.9,87.1,92.3,86.4,89.4,1.29,0.4,0
H0008,2025-10-03,103,119.0,112.8,119.1,115.9,84.5,90.5,84.3,87.4,1.29,0.4,0
H0008,2025-10-04,104,127.4,121.1,122.0,121.5,77.5,83.6,82.7,83.2,1.29,0.4,0
H0008,2025-10-05,95,162.6,152.0,157.7,154.8,28.8,40.0,34.1,37.0,1.29,0.4,0
H0008,2025-10-06,80,161.0,150.9,146.7,148.8,0.0,11.3,16.6,14.0,1.29,0.4,0
H0008,2025-10-07,1599,1514.9,1439.0,4244.6,2841.8,94.7,90.0,0.0,22.3,1.29,0.4,0
H0008,2025-10-08,1547,1705.2,1610.4,6333.2,3971.8,89.8,95.9,0.0,0.0,1.29,0.4,0
H0008,2025-10-09,299,239.3,216.9,205.2,211.0,80.0,72.5,68.6,70.6,1.29,0.4,0
H0008,2025-10-10,273,162.3,150.0,154.7,152.4,59.4,55.0,56.7,55.8,1.29,0.4,0
H0008,2025-10-11,255,167.3,155.6,157.5,156.6,65.6,61.0,61.8,61.4,1.29,0.4,0
H0008,2025-10-12,259,157.9,147.3,147.3,147.3,61.0,56.9,56.9,56.9,1.29,0.4,0
